car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
BMW,i3,51000.0,900.0,automatic transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2360003.0,2360003.0,9.0,1.0
GENESIS,G80,120000.0,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5564201.0,5564201.0,5.0,2.0
MERCEDES,E CLASS,41000.0,1991.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4562663.0,4562663.0,6.0,0.0
BMW,1 SERIES,27000.0,1998.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2021.0,5111169.0,5111169.0,4.0,0.0
TOYOTA,PRIUS,52000.0,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2016.0,2317134.0,2317134.0,9.0,1.0
TOYOTA,HARRIER 2.5Z PHEV 4WD,2000.0,2500.0,automatic transmission,Electric/Other,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,4883891.0,4883891.0,2.0,0.0
BMW,7 SERIES,124000.0,2993.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2016.0,4915039.0,4915039.0,9.0,2.0
TOYOTA,PRIUS S,86000.0,1800.0,automatic transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,2710494.0,2710494.0,9.0,1.0
GENESIS,G80,15000.0,2497.0,automatic transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6391278.0,6391278.0,4.0,0.0
MERCEDES,CLA CLASS,50000.0,1991.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,5161105.0,5161105.0,4.0,0.0
TOYOTA,COROLLA SPORT G,30000.0,1200.0,automatic transmission,Petrol,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,2372723.0,2372723.0,7.0,0.0
TOYOTA,FORTUNER 2.4 V,103000.0,2400.0,automatic transmission,Diesel,RHD,Other,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2015.0,5559019.0,5559019.0,10.0,2.0
BMW,5 SERIES,46000.0,1995.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,4890542.0,4890542.0,8.0,0.0
BMW,1 SERIES,37000.0,1995.0,automatic transmission,Diesel,LHD,2WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2020.0,4883891.0,4883891.0,5.0,0.0
TOYOTA,LAND CRUISER,68000.0,4300.0,automatic transmission,Petrol,LHD,4WD,7 Seats,5 Doors,suv,1,1,0,0,0,1,1,1,2015.0,6103756.0,6103756.0,10.0,1.0
TOYOTA,86 SZ,7000.0,2400.0,manual transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2021.0,4270411.0,4270411.0,4.0,0.0
MERCEDES,E CLASS,21000.0,1991.0,automatic transmission,Hybrid,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,7529431.0,7529431.0,4.0,0.0
KIA,SORENTO,57000.0,2497.0,automatic transmission,Petrol,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,5607541.0,5607541.0,4.0,1.0
MERCEDES,A CLASS,40000.0,1595.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2017.0,2435064.0,2435064.0,8.0,0.0
BMW,X5M,22000.0,4300.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,0,0,1,0,0,1,1,2021.0,12155848.999999989,12155848.999999989,4.0,0.0
